SMILES,InChI,Count
c1ccccc1,UHOVQNZJYSORNB-UHFFFAOYSA-N,2260082
c1ccncc1,JUJWROOIHBZHMG-UHFFFAOYSA-N,231698
C1CCNCC1,NQRYJNQNLNOLGT-UHFFFAOYSA-N,174309
C1CNCCN1,GLUUGHFHXGJENI-UHFFFAOYSA-N,137326
C1CCNC1,RWRDLPDLKQPQOW-UHFFFAOYSA-N,112428
c1ccc2[nH]ccc2c1,SIKJAQJRHWYJAI-UHFFFAOYSA-N,93446
c1cn[nH]c1,WTKZEGDFNFYCGP-UHFFFAOYSA-N,85440
c1cncnc1,CZPWVGJYEJSRLH-UHFFFAOYSA-N,81465
C1CCCCC1,XDTMQSROBMDMFD-UHFFFAOYSA-N,77480
C1COCCN1,YNAVUWVOSKDBBP-UHFFFAOYSA-N,70960
C1CC1,LVZWSLJZHVFIQJ-UHFFFAOYSA-N,70914
c1ccsc1,YTPLMLYBLZKORZ-UHFFFAOYSA-N,68146
c1c[nH]cn1,RAXXELZNTBOGNW-UHFFFAOYSA-N,66991
C1CCOCC1,DHXVGJBLRPWPCS-UHFFFAOYSA-N,64272
c1ccoc1,YLQBMQCUIZJEEH-UHFFFAOYSA-N,62191
c1cscn1,FZWLAAWBMGSTSO-UHFFFAOYSA-N,61036
c1ccc2ncccc2c1,SMWDFEZZVXVKRB-UHFFFAOYSA-N,57286
c1ccc2ccccc2c1,UFWIBTONFRDIAS-UHFFFAOYSA-N,49955
C1CCOC1,WYURNTSHIVDZCO-UHFFFAOYSA-N,47269
c1ccc2[nH]cnc2c1,HYZJCKYKOHLVJF-UHFFFAOYSA-N,43841
c1nc[nH]n1,NSPMIYGKQJPBQR-UHFFFAOYSA-N,34477
c1c[nH]nn1,QWENRTYMTSOGBR-UHFFFAOYSA-N,31980
C1CCCC1,RGSFGYAAUTVSQA-UHFFFAOYSA-N,30433
c1cc[nH]c1,KAESVJOAVNADME-UHFFFAOYSA-N,29631
c1cnoc1,CTAPFRYPJLPFDF-UHFFFAOYSA-N,28864
c1ncc2nc[nH]c2n1,KDCGOANMDULRCW-UHFFFAOYSA-N,24411
c1ccc2c(c1)OCO2,FTNJQNQLEGKTGD-UHFFFAOYSA-N,23197
c1ccc2ncncc2c1,JWVCLYRUEFBMGU-UHFFFAOYSA-N,21866
O=c1cc[nH]c(=O)[nH]1,ISAKRJDGNUQOIC-UHFFFAOYSA-N,20798
c1nn[nH]n1,KJUGUADJHNHALS-UHFFFAOYSA-N,20601
c1ccc2scnc2c1,IOJUPLGTWVMSFF-UHFFFAOYSA-N,20513
c1ccc2c(c1)CCNC2,UWYZHKAOTLEWKK-UHFFFAOYSA-N,17250
c1ncon1,BBVIDBNAYOIXOE-UHFFFAOYSA-N,17228
c1cnccn1,KYQCOXFCLRTKLS-UHFFFAOYSA-N,16094
c1cocn1,ZCQWOFVYLHDMMC-UHFFFAOYSA-N,15605
c1ccc2[nH]ncc2c1,BAXOFTOLAUCFNW-UHFFFAOYSA-N,15260
O=c1ccc2ccccc2o1,ZYGHJZDHTFUPRJ-UHFFFAOYSA-N,15240
O=C1CCCN1,HNJBEVLQSNELDL-UHFFFAOYSA-N,14446
c1ccc2occc2c1,IANQTJSKSUMEQM-UHFFFAOYSA-N,14340
c1nnco1,FKASFBLJDCHBNZ-UHFFFAOYSA-N,14167
c1nncs1,MBIZXFATKUQOOA-UHFFFAOYSA-N,14130
O=c1ccoc2ccccc12,OTAFHZMPRISVEM-UHFFFAOYSA-N,13579
C1CNC1,HONIICLYMWZJFZ-UHFFFAOYSA-N,13255
C1CCC1,PMPVIKIVABFJJI-UHFFFAOYSA-N,12595
c1cc[nH+]cc1,JUJWROOIHBZHMG-UHFFFAOYSA-O,12265
O=c1cccc[nH]1,UBQKCCHYAOITMY-UHFFFAOYSA-N,11659
O=c1[nH]cnc2ccccc12,QMNUDYFKZYBWQX-UHFFFAOYSA-N,11321
c1ccn2ccnc2c1,UTCSSFWDNNEEBH-UHFFFAOYSA-N,10893
c1ccc2c(c1)OCCO2,BNBQRQQYDMDJAH-UHFFFAOYSA-N,10007
O=c1cc[nH]c2ccccc12,PMZDQRJGMBOQBF-UHFFFAOYSA-N,9879
